query,url
Rotten Tomatoes Unforgiven 1992,https://www.rottentomatoes.com/m/1041911-unforgiven
Rotten Tomatoes Braveheart 1995,https://www.rottentomatoes.com/m/1065684-braveheart
Rotten Tomatoes The Shape of Water 2017,https://www.rottentomatoes.com/m/the_shape_of_water_2017
Rotten Tomatoes How Green Was My Valley 1941,https://www.rottentomatoes.com/m/how_green_was_my_valley
Rotten Tomatoes Gentlemans Agreement 1947,https://www.rottentomatoes.com/m/gentlemans_agreement
Rotten Tomatoes Gigi 1958,https://www.rottentomatoes.com/m/gigi
Rotten Tomatoes Lawrence of Arabia 1962,https://www.rottentomatoes.com/m/lawrence_of_arabia
Rotten Tomatoes Tom Jones 1963,https://www.rottentomatoes.com/m/tom_jones
Rotten Tomatoes Oliver 1968,https://www.rottentomatoes.com/m/oliver
Rotten Tomatoes The Godfather Part II 1974,https://www.rottentomatoes.com/m/godfather_part_ii
Rotten Tomatoes Ordinary People 1980,https://www.rottentomatoes.com/m/ordinary_people
Rotten Tomatoes A Beautiful Mind 2001,https://www.rottentomatoes.com/m/beautiful_mind
Rotten Tomatoes No Country for Old Men 2007,https://www.rottentomatoes.com/m/no_country_for_old_men
Rotten Tomatoes The Pride of the Yankees 1942,https://www.rottentomatoes.com/m/pride_of_the_yankees
Rotten Tomatoes Mr Smith Goes to Washington 1939,https://www.rottentomatoes.com/m/mr_smith_goes_to_washington
Rotten Tomatoes Sunset Boulevard 1950,https://www.rottentomatoes.com/m/sunset_boulevard
Rotten Tomatoes Guess Whos Coming to Dinner 1967,https://www.rottentomatoes.com/m/guess_whos_coming_to_dinner
Rotten Tomatoes Bonnie and Clyde 1967,https://www.rottentomatoes.com/m/bonnie_and_clyde
Rotten Tomatoes Chinatown 1974,https://www.rottentomatoes.com/m/chinatown
Rotten Tomatoes The Piano 1993,https://www.rottentomatoes.com/m/piano
Rotten Tomatoes Fargo 1996,https://www.rottentomatoes.com/m/fargo
Rotten Tomatoes The Brutalist 2024,https://www.rottentomatoes.com/m/the_brutalist
Rotten Tomatoes The Philadelphia Story 1940,https://www.rottentomatoes.com/m/philadelphia_story
Rotten Tomatoes The Song of Bernadette 1943,https://www.rottentomatoes.com/m/song_of_bernadette
Rotten Tomatoes Johnny Belinda 1948,https://www.rottentomatoes.com/m/1011176-johnny_belinda
Rotten Tomatoes A Streetcar Named Desire 1951,https://www.rottentomatoes.com/m/1020333-streetcar_named_desire
Rotten Tomatoes Room at the Top 1959,https://www.rottentomatoes.com/m/room_at_the_top
Rotten Tomatoes Judgment at Nuremberg 1961,https://www.rottentomatoes.com/m/judgment_at_nuremburg
Rotten Tomatoes The Hustler 1961,https://www.rottentomatoes.com/m/hustler
Rotten Tomatoes To Kill a Mockingbird 1962,https://www.rottentomatoes.com/m/to_kill_a_mockingbird
Rotten Tomatoes Becket 1964,https://www.rottentomatoes.com/m/becket
Rotten Tomatoes The Lion in Winter 1968,https://www.rottentomatoes.com/m/1012386-lion_in_winter
Rotten Tomatoes Howards End 1992,https://www.rottentomatoes.com/m/howards_end
Rotten Tomatoes There Will Be Blood 2007,https://www.rottentomatoes.com/m/there_will_be_blood
Rotten Tomatoes Saving Private Ryan 1998,https://www.rottentomatoes.com/m/saving_private_ryan
Rotten Tomatoes Roma 2018,https://www.rottentomatoes.com/m/roma_2018
Rotten Tomatoes 7th Heaven 1928,https://www.rottentomatoes.com/m/7th_heaven
Rotten Tomatoes The Informer 1935,https://www.rottentomatoes.com/m/1010553-informer
Rotten Tomatoes The Graduate 1967,https://www.rottentomatoes.com/m/graduate
Rotten Tomatoes Brokeback Mountain 2005,https://www.rottentomatoes.com/m/brokeback_mountain
Rotten Tomatoes The Great Ziegfeld 1936,https://www.rottentomatoes.com/m/the_great_ziegfeld
Rotten Tomatoes An American in Paris 1951,https://www.rottentomatoes.com/m/american_in_paris
Rotten Tomatoes All the Kings Men 1949,https://www.rottentomatoes.com/m/1000654-all_the_kings_men
Rotten Tomatoes Around the World in 80 Days 1956,https://www.rottentomatoes.com/m/1001193-around_the_world_in_80_days
